SIZE,CASE,ALGORITHM,COMPARISONS,SWAPS,TIME(us)
500,BEST,BUBBLE,124750,0,1412
500,BEST,SELECTION,124750,0,985
500,BEST,INSERTION,499,0,0
500,BEST,MERGE,2272,0,0
500,BEST,QUICK,124750,125249,1046
500,AVERAGE,BUBBLE,124750,63819,0
500,AVERAGE,SELECTION,124750,491,1506
500,AVERAGE,INSERTION,64313,63819,0
500,AVERAGE,MERGE,3839,0,0
500,AVERAGE,QUICK,5295,2982,0
500,WORST,BUBBLE,124750,124750,2006
500,WORST,SELECTION,124750,250,0
500,WORST,INSERTION,124750,124750,1335
500,WORST,MERGE,2216,0,0
500,WORST,QUICK,124750,62749,0
1000,BEST,BUBBLE,499500,0,1519
1000,BEST,SELECTION,499500,0,1007
1000,BEST,INSERTION,999,0,0
1000,BEST,MERGE,5044,0,1193
1000,BEST,QUICK,499500,500499,4009
1000,AVERAGE,BUBBLE,499500,263669,4008
1000,AVERAGE,SELECTION,499500,989,2028
1000,AVERAGE,INSERTION,264656,263669,1244
1000,AVERAGE,MERGE,8699,0,0
1000,AVERAGE,QUICK,11102,5580,0
1000,WORST,BUBBLE,499500,499500,5513
1000,WORST,SELECTION,499500,500,2041
1000,WORST,INSERTION,499500,499500,1998
1000,WORST,MERGE,4932,0,1000
1000,WORST,QUICK,499500,250499,3000
2000,BEST,BUBBLE,1999000,0,6566
2000,BEST,SELECTION,1999000,0,6513
2000,BEST,INSERTION,1999,0,0
2000,BEST,MERGE,11088,0,1101
2000,BEST,QUICK,1999000,2000999,18022
2000,AVERAGE,BUBBLE,1999000,1016817,14039
2000,AVERAGE,SELECTION,1999000,1989,7576
2000,AVERAGE,INSERTION,1018810,1016817,4512
2000,AVERAGE,MERGE,19445,0,1000
2000,AVERAGE,QUICK,23812,13701,1000
2000,WORST,BUBBLE,1999000,1999000,20392
2000,WORST,SELECTION,1999000,1000,7589
2000,WORST,INSERTION,1999000,1999000,9662
2000,WORST,MERGE,10864,0,1001
2000,WORST,QUICK,1999000,1000999,11033
3000,BEST,BUBBLE,4498500,0,15205
3000,BEST,SELECTION,4498500,0,14723
3000,BEST,INSERTION,2999,0,0
3000,BEST,MERGE,18076,0,2059
3000,BEST,QUICK,4498500,4501499,40326
3000,AVERAGE,BUBBLE,4498500,2244415,32266
3000,AVERAGE,SELECTION,4498500,2989,14569
3000,AVERAGE,INSERTION,2247409,2244415,11404
3000,AVERAGE,MERGE,30917,0,1505
3000,AVERAGE,QUICK,36827,20755,1006
3000,WORST,BUBBLE,4498500,4498500,47130
3000,WORST,SELECTION,4498500,1500,15349
3000,WORST,INSERTION,4498500,4498500,23090
3000,WORST,MERGE,16828,0,1193
3000,WORST,QUICK,4498500,2251499,25207
5000,BEST,BUBBLE,12497500,0,41738
5000,BEST,SELECTION,12497500,0,41952
5000,BEST,INSERTION,4999,0,0
5000,BEST,MERGE,32004,0,1999
5000,BEST,QUICK,12497500,12502499,111935
5000,AVERAGE,BUBBLE,12497500,6246583,88734
5000,AVERAGE,SELECTION,12497500,4989,42491
5000,AVERAGE,INSERTION,6251577,6246583,31770
5000,AVERAGE,MERGE,55218,0,2405
5000,AVERAGE,QUICK,68382,38041,1057
5000,WORST,BUBBLE,12497500,12497500,131831
5000,WORST,SELECTION,12497500,2500,42818
5000,WORST,INSERTION,12497500,12497500,63251
5000,WORST,MERGE,29804,0,2001
5000,WORST,QUICK,12497500,6252499,67932
